City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Rikitea,PF,75.74,overcast clouds,-23.1203,-134.9692,People ThankYou
5,Cairns,AU,77.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
14,Boueni,YT,76.98,few clouds,-12.9025,45.0761,The feet in water
19,Bandarbeyla,SO,78.15,few clouds,9.4942,50.8122,JABIR HOTEL
20,Sur,OM,77.81,clear sky,22.5667,59.5289,Sur Plaza Hotel
26,Atuona,PF,77.88,few clouds,-9.8,-139.0333,Villa Enata
31,Saint George,US,78.53,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
38,Hilo,US,80.26,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
40,Faanui,PF,78.73,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
42,Ca Mau,VN,76.35,moderate rain,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
45,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
46,Nouakchott,MR,80.53,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
47,Garissa,KE,79.77,few clouds,-0.4536,39.6401,Sharif Plaza Hotel
48,San Antonio,US,79.25,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
51,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
59,Trairi,BR,80.19,overcast clouds,-3.2778,-39.2689,janelas do mar
64,Todos Santos,MX,88.11,clear sky,23.45,-110.2167,Hotel California Todos Santos
65,Port Blair,IN,81.07,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
69,Bundaberg,AU,80.22,scattered clouds,-24.85,152.35,Takalvan Motel
77,Hambantota,LK,78.44,overcast clouds,6.1241,81.1185,Bungalow 63
80,Kavieng,PG,83.39,light rain,-2.5744,150.7967,Nusa Island Retreat
81,Yaguajay,CU,83.77,overcast clouds,22.3272,-79.2378,Hostal La Terraza
87,Lompoc,US,85.14,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
88,Hithadhoo,MV,83.21,overcast clouds,-0.6,73.0833,Scoop Guest House
92,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
93,Yaan,NG,80.01,overcast clouds,7.3833,8.5667,
99,San Patricio,US,82.81,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
100,Namatanai,PG,82.18,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
104,Touros,BR,79.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
108,Bengkulu,ID,75.36,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
109,Ballina,AU,77.77,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
110,Umm Kaddadah,SD,84.04,broken clouds,13.6017,26.6876,
111,Sibolga,ID,77.31,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
121,Ipira,BR,77.5,broken clouds,-12.1583,-39.7372,Pallace Hotel e Restaurante
123,Bintulu,MY,76.55,overcast clouds,3.1667,113.0333,900 Boutique INN
129,Alofi,NU,76.64,overcast clouds,-19.0595,-169.9187,Taloa Heights
138,San Andres,CO,86.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
139,Coahuayana,MX,89.08,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
142,Noumea,NC,75.18,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
146,Aripuana,BR,86.31,overcast clouds,-9.1667,-60.6333,
149,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
154,Butaritari,KI,83.7,few clouds,3.0707,172.7902,Isles Sunset Lodge
157,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
162,Kendari,ID,75.15,broken clouds,-3.945,122.4989,Hotel Wixel
163,Guerrero Negro,MX,82.69,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
170,Cayenne,GF,84.24,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
174,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
176,Omboue,GA,77.32,overcast clouds,-1.5746,9.2618,Hotel Olako
179,Bilma,NE,82.45,few clouds,18.6853,12.9164,Expeditions Ténére voyages
183,Nhulunbuy,AU,75.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
184,Kirakira,SB,82.76,broken clouds,-10.4544,161.9205,SanBiz Lodge
192,Segou,ML,85.44,overcast clouds,13.4317,-6.2157,Comme chez soi
207,Macas,EC,78.55,light rain,-2.3167,-78.1167,Casa Upano
210,Sao Filipe,CV,79.56,broken clouds,14.8961,-24.4956,Hotel Xaguate
211,Bambanglipuro,ID,77.29,moderate rain,-7.95,110.2833,Puri Brata
213,Kattivakkam,IN,77.09,light rain,13.2167,80.3167,Euronova Freezer
215,Yabassi,CM,75.04,light rain,4.457,9.9682,MOTEL FOMI
220,Kloulklubed,PW,84.07,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
227,Dingle,PH,75.83,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
228,Morant Bay,JM,85.62,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
230,Labuhan,ID,79.93,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
231,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
241,Saint Pete Beach,US,80.04,overcast clouds,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
244,Ugoofaaru,MV,81.7,overcast clouds,5.6667,73.0,Ungoofaaru Inn
246,Lorengau,PG,81.27,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
248,Sorong,ID,78.01,overcast clouds,-0.8833,131.25,waigo splash hotel
251,Cabo San Lucas,MX,87.62,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
258,Rivera,UY,78.98,clear sky,-30.9053,-55.5508,Hotel Casino & Resort Rivera
260,Machilipatnam,IN,78.85,overcast clouds,16.1667,81.1333,R&B Bungalow
270,Maragogi,BR,78.84,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
272,Port Keats,AU,82.4,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
273,Pathein,MM,75.72,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
274,Katobu,ID,75.13,overcast clouds,-4.9408,122.5276,La Ode Husein
279,Meulaboh,ID,75.22,moderate rain,4.1363,96.1285,Kost Pria
292,Comodoro Rivadavia,AR,75.06,few clouds,-45.8667,-67.5,Austral Hotel
294,Merauke,ID,79.25,overcast clouds,-8.4667,140.3333,
295,Benjamin Constant,BR,87.93,few clouds,-4.3831,-70.0311,CASA AVALIADA
299,Bell Ville,AR,89.8,few clouds,-32.6259,-62.6887,Hotel Central
304,Umm Lajj,SA,83.53,clear sky,25.0213,37.2685,Moon light Furnished Units
