City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Busselton,AU,-33.65,115.3333,42.04,83,7,7.94,clear sky
1,Rikitea,PF,-23.1203,-134.9692,75.74,77,100,18.41,overcast clouds
2,Hermanus,ZA,-34.4187,19.2345,61.9,89,9,5.12,clear sky
3,Ushuaia,AR,-54.8,-68.3,49.62,46,20,25.32,few clouds
4,Cidreira,BR,-30.1811,-50.2056,68.99,83,75,21.07,broken clouds
5,Cairns,AU,-16.9167,145.7667,77.07,85,40,5.75,scattered clouds
6,Tuktoyaktuk,CA,69.4541,-133.0374,23.22,94,100,1.9,overcast clouds
7,Tuatapere,NZ,-46.1333,167.6833,59.94,64,95,6.42,overcast clouds
8,Punta Arenas,CL,-53.15,-70.9167,50.11,43,40,23.02,scattered clouds
9,Iqaluit,CA,63.7506,-68.5145,38.7,69,100,11.01,overcast clouds
10,Albany,US,42.6001,-73.9662,55.36,65,20,1.01,few clouds
11,Aljezur,PT,37.3191,-8.8033,68.18,91,100,18.3,overcast clouds
12,Qaqortoq,GL,60.7167,-46.0333,27.1,83,82,3.24,broken clouds
13,Katsuura,JP,35.1333,140.3,54.1,68,0,6.44,clear sky
14,Boueni,YT,-12.9025,45.0761,76.98,69,23,5.97,few clouds
15,Saint-Philippe,RE,-21.3585,55.7679,69.39,80,42,8.55,scattered clouds
16,Jamestown,US,42.097,-79.2353,49.32,99,90,5.99,light rain
17,Grand Gaube,MU,-20.0064,57.6608,72.37,91,44,7.92,light rain
18,Souillac,MU,-20.5167,57.5167,72.36,80,81,4.61,broken clouds
19,Bandarbeyla,SO,9.4942,50.8122,78.15,82,11,14.65,few clouds
20,Sur,OM,22.5667,59.5289,77.81,49,1,1.43,clear sky
21,Vaini,TO,-21.2,-175.2,71.76,100,90,8.05,moderate rain
22,Mataura,NZ,-46.1927,168.8643,60.96,65,75,5.37,broken clouds
23,Vostok,RU,46.4856,135.8833,31.64,64,0,2.68,clear sky
24,Kawardha,IN,22.0167,81.25,66.9,62,41,5.14,scattered clouds
25,Barrow,US,71.2906,-156.7887,1.42,71,1,12.66,clear sky
26,Atuona,PF,-9.8,-139.0333,77.88,72,14,13.58,few clouds
27,Mukhen,RU,48.1,136.1,35.56,75,4,4.38,clear sky
28,Vila,PT,42.0304,-8.1588,56.34,95,100,6.4,light rain
29,Manzil Salim,TN,35.8567,8.4765,59.45,62,8,2.17,clear sky
30,Port Alfred,ZA,-33.5906,26.891,62.69,80,88,13.35,overcast clouds
31,Saint George,US,37.1041,-113.5841,78.53,31,1,1.99,clear sky
32,East London,ZA,-33.0153,27.9116,64.76,71,96,14.99,light rain
33,Kuldur,RU,49.2167,131.6333,36.99,66,100,1.16,light rain
34,Talnakh,RU,69.4865,88.3972,16.43,95,100,8.93,light snow
35,Huanren,CN,41.2647,125.3667,42.55,87,62,2.35,broken clouds
36,Gushikawa,JP,26.3544,127.8686,70.83,88,1,4.61,clear sky
37,Winnemucca,US,40.973,-117.7357,68.05,45,1,3.44,clear sky
38,Hilo,US,19.7297,-155.09,80.26,68,40,8.05,scattered clouds
39,Niles,US,42.0189,-87.8028,55.27,95,90,4,light rain
40,Faanui,PF,-16.4833,-151.75,78.73,70,100,15.14,overcast clouds
41,Pisco,PE,-13.7,-76.2167,68.05,68,0,20.71,clear sky
42,Ca Mau,VN,9.1769,105.15,76.35,94,99,4.23,moderate rain
43,Cape Town,ZA,-33.9258,18.4232,65.08,80,4,1.01,clear sky
44,Tilichiki,RU,60.4667,166.1,27.68,89,100,11.9,overcast clouds
45,Puerto Ayora,EC,-0.7393,-90.3518,78.76,87,78,10.49,broken clouds
46,Nouakchott,MR,18.0858,-15.9785,80.53,63,100,13.91,overcast clouds
47,Garissa,KE,-0.4536,39.6401,79.77,64,23,16.31,few clouds
48,San Antonio,US,29.4241,-98.4936,79.25,21,1,18.41,clear sky
49,Khatanga,RU,71.9667,102.5,3.2,84,100,10,overcast clouds
50,Castro,BR,-24.7911,-50.0119,66.24,82,56,8.59,broken clouds
51,Avarua,CK,-21.2078,-159.775,78.85,61,40,13.8,scattered clouds
52,Qaanaaq,GL,77.484,-69.3632,13.48,69,99,7.85,overcast clouds
53,Cherskiy,RU,68.75,161.3,-19.88,99,99,1.66,overcast clouds
54,Alice Springs,AU,-23.7,133.8833,65.75,30,14,11.5,few clouds
55,Baruun-Urt,MN,46.6806,113.2792,29.88,35,100,16.78,overcast clouds
56,Thompson,CA,55.7435,-97.8558,43.79,74,95,6.93,overcast clouds
57,Saint Anthony,US,45.0205,-93.218,59.9,57,1,1.99,clear sky
58,Port-Cartier,CA,50.0334,-66.8654,44.73,51,0,1.7,clear sky
59,Trairi,BR,-3.2778,-39.2689,80.19,70,89,9.69,overcast clouds
60,Bluff,NZ,-46.6,168.3333,56.71,76,94,5.1,overcast clouds
61,Peniche,PT,39.3558,-9.3811,69.89,93,100,33.67,overcast clouds
62,Ulaanbaatar,MN,47.9077,106.8832,17.73,86,0,0,clear sky
63,Asfi,MA,32.2994,-9.2372,65.12,84,67,1.61,broken clouds
64,Todos Santos,MX,23.45,-110.2167,88.11,72,0,8.19,clear sky
65,Port Blair,IN,11.6667,92.75,81.07,82,39,6.82,scattered clouds
66,New Norfolk,AU,-42.7826,147.0587,47.75,72,45,3.33,scattered clouds
67,Arraial Do Cabo,BR,-22.9661,-42.0278,67.86,88,90,10.36,light intensity drizzle
68,Kamaishi,JP,39.2667,141.8833,48.04,76,0,5.21,clear sky
69,Bundaberg,AU,-24.85,152.35,80.22,82,40,5.99,scattered clouds
