City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mackay,AU,2021-10-28 21:07:16,-21.15,149.2,80.69,69,3,9.6
1,Rio Gallegos,AR,2021-10-28 21:07:17,-51.6226,-69.2181,69.91,34,100,12.71
2,Busselton,AU,2021-10-28 21:06:07,-33.65,115.3333,45.86,83,50,7.85
3,Flinders,AU,2021-10-28 21:07:17,-34.5833,150.8552,78.08,48,95,9.15
4,Tommot,RU,2021-10-28 21:07:17,58.9564,126.2925,23.22,72,56,8.7
5,Faanui,PF,2021-10-28 21:07:18,-16.4833,-151.75,78.73,78,43,7.85
6,Atuona,PF,2021-10-28 21:06:01,-9.8,-139.0333,78.28,71,1,17.29
7,Mataura,NZ,2021-10-28 21:06:17,-46.1927,168.8643,60.37,69,19,2.39
8,Matara,LK,2021-10-28 21:07:19,5.9485,80.5353,75.58,94,100,4.5
9,Inirida,CO,2021-10-28 21:07:19,3.8653,-67.9239,76.1,96,100,3.36
10,Cidreira,BR,2021-10-28 21:07:19,-30.1811,-50.2056,69.24,81,0,16.6
11,Guerrero Negro,MX,2021-10-28 21:07:20,27.9769,-114.0611,84.07,25,0,7.49
12,Bluff,NZ,2021-10-28 21:07:20,-46.6,168.3333,57.0,84,51,4.99
13,Itoman,JP,2021-10-28 21:07:20,26.1247,127.6694,69.82,62,20,8.05
14,Havelock,US,2021-10-28 21:07:21,34.8791,-76.9013,67.01,80,100,5.01
15,Tasiilaq,GL,2021-10-28 21:07:21,65.6145,-37.6368,32.16,73,82,8.41
16,Alta Floresta,BR,2021-10-28 21:07:22,-9.8756,-56.0861,76.53,81,65,5.39
17,Logumkloster,DK,2021-10-28 21:07:22,55.0594,8.9551,53.53,86,0,11.45
18,Albany,US,2021-10-28 21:07:22,42.6001,-73.9662,57.74,74,0,2.35
19,Faya,SA,2021-10-28 21:07:23,18.3851,42.4509,55.92,60,3,3.06
20,Alice Springs,AU,2021-10-28 21:03:27,-23.7,133.8833,72.95,21,54,12.66
21,New Norfolk,AU,2021-10-28 21:07:23,-42.7826,147.0587,47.7,79,100,5.99
22,Tanggu,CN,2021-10-28 21:07:23,39.0211,117.6469,46.36,58,11,2.3
23,Beringovskiy,RU,2021-10-28 21:07:24,63.05,179.3167,5.22,88,24,6.93
24,Butaritari,KI,2021-10-28 21:06:52,3.0707,172.7902,81.95,70,6,11.14
25,El Alto,PE,2021-10-28 21:07:24,-4.2714,-81.2147,69.46,71,24,20.56
26,Constitucion,CL,2021-10-28 21:07:25,-35.3333,-72.4167,64.98,59,10,17.0
27,Vaini,TO,2021-10-28 21:07:25,-21.2,-175.2,78.96,78,75,9.22
28,Moose Factory,CA,2021-10-28 21:07:25,51.2585,-80.6094,50.13,65,8,5.82
29,Avarua,CK,2021-10-28 21:07:26,-21.2078,-159.775,75.25,73,10,12.66
30,Port Blair,IN,2021-10-28 21:07:26,11.6667,92.75,80.71,80,51,9.35
31,Longyearbyen,SJ,2021-10-28 21:03:10,78.2186,15.6401,19.24,68,0,5.75
32,Ushuaia,AR,2021-10-28 21:04:36,-54.8,-68.3,60.46,36,20,13.8
33,Kieta,PG,2021-10-28 21:07:27,-6.2167,155.6333,82.29,75,57,3.42
34,Bredasdorp,ZA,2021-10-28 21:06:37,-34.5322,20.0403,55.27,92,27,4.29
35,Tonantins,BR,2021-10-28 21:07:27,-2.8731,-67.8022,80.83,76,80,2.15
36,Oussouye,SN,2021-10-28 21:07:28,12.485,-16.5469,78.01,80,66,5.7
37,Dikson,RU,2021-10-28 21:07:28,73.5069,80.5464,8.67,92,100,9.48
38,Saskylakh,RU,2021-10-28 21:07:28,71.9167,114.0833,3.87,96,100,10.38
39,Bonthe,SL,2021-10-28 21:07:29,7.5264,-12.505,77.58,88,100,5.77
40,Tombouctou,ML,2021-10-28 21:07:29,20.0,-3.0,84.7,26,100,10.96
41,Hambantota,LK,2021-10-28 21:07:29,6.1241,81.1185,78.69,83,92,4.34
42,Zacualpan,MX,2021-10-28 21:07:30,21.25,-105.1667,96.42,70,0,7.81
43,Sovetskiy,RU,2021-10-28 21:03:06,61.3614,63.5842,22.64,67,69,14.76
44,Seoul,KR,2021-10-28 21:04:33,37.5683,126.9778,47.71,57,100,3.47
45,Te Anau,NZ,2021-10-28 21:07:30,-45.4167,167.7167,56.39,70,13,0.36
46,Maldonado,UY,2021-10-28 21:07:31,-34.6667,-54.9167,78.19,65,2,10.38
47,Lorengau,PG,2021-10-28 21:07:31,-2.0226,147.2712,82.56,76,98,5.95
48,Rikitea,PF,2021-10-28 21:05:15,-23.1203,-134.9692,75.49,80,81,17.65
49,Airai,TL,2021-10-28 21:08:32,-8.9266,125.4092,61.23,83,98,2.06
50,Magdagachi,RU,2021-10-28 21:08:32,53.45,125.8,29.16,94,83,3.8
51,Cape Town,ZA,2021-10-28 21:05:43,-33.9258,18.4232,63.09,75,17,1.99
52,Warrington,GB,2021-10-28 21:08:32,53.3925,-2.5802,58.48,93,40,1.01
53,East London,ZA,2021-10-28 21:08:33,-33.0153,27.9116,66.87,95,100,11.25
54,Port Alfred,ZA,2021-10-28 21:07:34,-33.5906,26.891,66.9,96,100,4.54
55,Itaporanga,BR,2021-10-28 21:05:48,-7.3044,-38.1503,91.18,31,54,14.99
56,Kangalassy,RU,2021-10-28 21:08:33,62.3464,129.9628,22.93,90,22,8.57
57,Port Elizabeth,ZA,2021-10-28 21:08:34,-33.918,25.5701,72.1,89,100,12.95
58,Ancud,CL,2021-10-28 21:08:34,-41.8697,-73.8203,60.33,66,33,9.31
59,Nikolskoye,RU,2021-10-28 21:07:46,59.7035,30.7861,46.87,91,100,10.16
60,Bengkulu,ID,2021-10-28 21:08:35,-3.8004,102.2655,77.14,85,100,3.02
61,Moussoro,TD,2021-10-28 21:08:35,13.6408,16.4901,89.04,12,6,12.41
62,Punta Arenas,CL,2021-10-28 21:07:02,-53.15,-70.9167,60.91,51,90,20.71
63,Cherskiy,RU,2021-10-28 21:08:36,68.75,161.3,-14.66,93,88,3.6
64,Lhokseumawe,ID,2021-10-28 21:08:36,5.1801,97.1507,78.12,87,98,4.65
65,Ilhabela,BR,2021-10-28 21:08:37,-23.7781,-45.3581,70.45,94,100,5.73
66,Kontagora,NG,2021-10-28 21:08:11,10.3999,5.4695,79.32,62,79,2.33
67,Yumen,CN,2021-10-28 21:08:37,40.2833,97.2,38.89,39,51,3.13
68,Andover,GB,2021-10-28 21:08:37,51.2083,-1.4825,60.33,80,100,19.82
69,Novikovo,RU,2021-10-28 21:08:38,51.1537,37.8879,44.37,92,64,8.39
70,Yellowknife,CA,2021-10-28 21:07:16,62.456,-114.3525,36.41,99,100,2.62
71,Khatanga,RU,2021-10-28 21:08:38,71.9667,102.5,-6.07,98,100,10.16
72,Severo-Kurilsk,RU,2021-10-28 21:08:39,50.6789,156.125,42.12,91,100,7.74
73,Makasar,ID,2021-10-28 21:04:10,-5.14,119.4221,73.45,94,20,2.3
74,Pedro Ii,BR,2021-10-28 21:08:39,-4.4247,-41.4586,87.12,26,54,2.08
75,Sefton,NZ,2021-10-28 21:08:39,-43.25,172.6667,59.99,89,85,6.2
76,Vila Velha,BR,2021-10-28 21:08:05,-20.3297,-40.2925,76.95,78,20,8.05
77,Kano,NG,2021-10-28 21:08:40,12.0001,8.5167,81.66,19,57,3.51
78,Caravelas,BR,2021-10-28 21:08:40,-17.7125,-39.2481,74.91,70,6,7.27
79,Hobart,AU,2021-10-28 21:05:28,-42.8794,147.3294,48.06,93,75,5.01
80,Tiksi,RU,2021-10-28 21:07:44,71.6872,128.8694,11.7,95,100,4.83
81,Eyl,SO,2021-10-28 21:08:41,7.9803,49.8164,76.51,70,47,9.75
82,Mar Del Plata,AR,2021-10-28 21:07:19,-38.0023,-57.5575,75.22,83,0,18.01
83,Olafsvik,IS,2021-10-28 21:08:41,64.8945,-23.7142,41.79,91,82,33.15
84,Haines Junction,CA,2021-10-28 21:08:42,60.7522,-137.5108,30.87,77,89,3.49
85,Chapais,CA,2021-10-28 21:08:42,49.7834,-74.8492,45.93,49,0,5.06
86,Mehamn,NO,2021-10-28 21:07:40,71.0357,27.8492,30.11,96,100,14.2
87,Adrar,MR,2021-10-28 21:08:43,20.5022,-10.0711,79.21,38,100,10.63
88,Tuktoyaktuk,CA,2021-10-28 21:08:43,69.4541,-133.0374,28.4,93,90,5.75
89,Saint George,US,2021-10-28 21:07:05,37.1041,-113.5841,77.47,32,1,1.01
90,Neuquen,AR,2021-10-28 21:08:43,-38.9516,-68.0591,89.83,15,0,9.48
91,Tura,IN,2021-10-28 21:08:44,25.5198,90.2201,66.4,90,0,3.8
92,Pacific Grove,US,2021-10-28 21:06:15,36.6177,-121.9166,84.58,50,1,8.05
93,Hithadhoo,MV,2021-10-28 21:08:44,-0.6,73.0833,83.14,74,100,13.49
94,Saint-Philippe,RE,2021-10-28 21:07:50,-21.3585,55.7679,72.99,79,3,7.25
95,Villarrica,PY,2021-10-28 21:09:45,-25.75,-56.4333,84.11,55,0,3.18
96,Darayya,SY,2021-10-28 21:09:45,33.459,36.2374,66.34,42,67,4.07
97,Nyurba,RU,2021-10-28 21:07:04,63.2842,118.3319,21.52,77,100,13.91
98,Asau,RO,2021-10-28 21:09:44,46.4333,26.4,47.75,74,12,2.3
